,decimalLatitude,decimalLongitude,elevation,date
707,46.61902,8.84478,1600.0,2002-08-31 00:00:00
708,47.13938,9.11335,435.0,2002-09-17 00:00:00
709,47.10048,8.80133,890.0,2002-01-01 00:00:00
710,47.14753,8.75026,860.0,2002-01-01 00:00:00
712,47.30399,8.52294,550.0,2002-07-23 00:00:00
713,46.22761,8.73647,310.0,2002-06-27 00:00:00
714,47.1618,7.21971,650.0,2002-05-24 00:00:00
715,47.41973,8.92419,699.0,2002-08-27 00:00:00
716,46.13593,7.62628,1680.0,2002-07-07 00:00:00
717,47.46862,8.9943,529.0,2002-09-15 00:00:00
718,46.13278,7.62757,1680.0,2002-07-08 00:00:00
720,47.4284,8.95363,590.0,2002-09-10 00:00:00
721,47.0082,7.4531,560.0,2002-05-24 00:00:00
722,47.42238,8.95566,640.0,2002-09-13 00:00:00
723,46.90447,9.54408,540.0,2002-09-14 00:00:00
724,47.42611,8.9509,663.0,2002-09-12 00:00:00
725,47.07392,8.79033,1210.0,2002-01-01 00:00:00
736,47.3172,8.58487,421.5,2003-01-01 00:00:00
767,46.89643,6.90115,430.0,2003-06-11 00:00:00
769,47.36371,8.70832,461.0,2003-05-24 00:00:00
770,47.3171,8.58506,422.0,2003-01-01 00:00:00
771,47.34737,8.72084,466.5,2003-05-17 00:00:00
772,47.40533,8.53627,449.0,2003-05-01 00:00:00
773,47.34728,8.72086,466.5,2003-05-17 00:00:00
774,47.36145,8.72633,482.5,2003-05-24 00:00:00
775,46.47873,8.80342,733.5,2003-01-01 00:00:00
776,47.13586,7.3288,429.0,2003-09-01 00:00:00
777,46.78721,7.59887,546.0,2003-01-01 00:00:00
778,46.79159,7.58409,544.5,2003-01-01 00:00:00
779,47.36178,8.73081,488.0,2003-05-17 00:00:00
780,47.36371,8.70831,461.0,2003-05-24 00:00:00
781,47.34545,8.71251,463.0,2003-05-17 00:00:00
782,47.41274,9.28279,670.0,2003-06-09 00:00:00
783,46.99349,9.12939,741.5,2003-01-01 00:00:00
787,46.9352,8.28383,456.5,2003-01-01 00:00:00
789,47.34746,8.71408,458.0,2003-05-20 00:00:00
790,47.34858,8.71444,459.0,2003-05-17 00:00:00
791,46.94064,7.49423,555.0,2003-07-18 00:00:00
793,47.53754,8.41666,426.0,2003-05-22 00:00:00
794,47.3171,8.58504,420.0,2003-01-01 00:00:00
795,47.44221,7.89202,480.0,2003-01-01 00:00:00
799,47.42775,7.22842,582.5,2003-07-21 00:00:00
800,46.9266,7.5193,570.0,2003-08-18 00:00:00
801,46.84174,10.3627,1527.0,2003-01-01 00:00:00
802,47.40533,8.53626,440.0,2003-05-29 00:00:00
805,46.94111,8.28707,443.0,2003-01-01 00:00:00
